sku,name,category,color,price,image_url
15970,Turtle Check Men Navy Blue Shirt,Shirts,Navy Blue,,images/15970.jpg
39386,Peter England Men Party Blue Jeans,Jeans,Blue,,images/39386.jpg
59263,Titan Women Silver Watch,Watches,Silver,,images/59263.jpg
21379,Manchester United Men Solid Black Track Pants,Track Pants,Black,,images/21379.jpg
53759,Puma Men Grey T-shirt,Tshirts,Grey,,images/53759.jpg
1855,Inkfruit Mens Chain Reaction T-shirt,Tshirts,Grey,,images/1855.jpg
30805,Fabindia Men Striped Green Shirt,Shirts,Green,,images/30805.jpg
26960,Jealous 21 Women Purple Shirt,Shirts,Purple,,images/26960.jpg
29114,Puma Men Pack of 3 Socks,Socks,Navy Blue,,images/29114.jpg
30039,Skagen Men Black Watch,Watches,Black,,images/30039.jpg
9204,Puma Men Future Cat Remix SF Black Casual Shoes,Casual Shoes,Black,,images/9204.jpg
48123,Fossil Women Black Huarache Weave Belt,Belts,Black,,images/48123.jpg
18653,Fila Men Cush Flex Black Slippers,Flip Flops,Black,,images/18653.jpg
47957,Murcia Women Blue Handbag,Handbags,Blue,,images/47957.jpg
46885,Ben 10 Boys Navy Blue Slippers,Flip Flops,Navy Blue,,images/46885.jpg
12369,Reid & Taylor Men Check Purple Shirts,Shirts,Purple,,images/12369.jpg
29928,Police Men Black Dial Watch PL12889JVSB,Watches,Black,,images/29928.jpg
42419,Gini and Jony Girls Knit White Top,Tops,White,,images/42419.jpg
51832,Bwitch Beige Full-Coverage Bra BW335,Bra,Beige,,images/51832.jpg
47359,Baggit Women Brown Handbag,Handbags,Brown,,images/47359.jpg
17429,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,Watches,Black,,images/17429.jpg
12967,ADIDAS Men Spry M Black Sandals,Sandals,Black,,images/12967.jpg
6842,Timberland Unisex Rubber Sole Brush Shoe Accessories,Shoe Accessories,Black,,images/6842.jpg
13089,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,Sweatshirts,Grey,,images/13089.jpg
18461,David Beckham Signature Men Deos,Deodorant,White,,images/18461.jpg
9036,Buckaroo Men Flores Black Formal Shoes,Formal Shoes,Black,,images/9036.jpg
48311,Pitaraa Women Bronze Beaded Bracelet,Bracelet,Bronze,,images/48311.jpg
7990,Fila Men's Round Neck Navy Blue T-shirt,Tshirts,Navy Blue,,images/7990.jpg
