sku,name,category,color,price,image_url
MF-001,Piqué Biker Jacket,top,,$67.24,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-002,T-shirt Contrast Pocket,top,,$49.66,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-003,Piqué Biker Jacket,top,,$67.24,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-004,T-shirt Contrast Pocket,top,,$49.66,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-005,Piqué Biker Jacket (Variant 5),top,,$69.38,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-006,T-shirt Contrast Pocket (Variant 6),top,,$46.45,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-007,Piqué Biker Jacket (Variant 7),top,,$60.45,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-008,T-shirt Contrast Pocket (Variant 8),top,,$49.08,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-009,Piqué Biker Jacket (Variant 9),top,,$75.78,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-010,T-shirt Contrast Pocket (Variant 10),top,,$46.48,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-011,Piqué Biker Jacket (Variant 11),top,,$64.55,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-012,T-shirt Contrast Pocket (Variant 12),top,,$53.74,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-013,Piqué Biker Jacket (Variant 13),top,,$61.65,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-014,T-shirt Contrast Pocket (Variant 14),top,,$45.25,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-015,Piqué Biker Jacket (Variant 15),top,,$73.07,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-016,T-shirt Contrast Pocket (Variant 16),top,,$47.73,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-017,Piqué Biker Jacket (Variant 17),top,,$75.75,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-018,T-shirt Contrast Pocket (Variant 18),top,,$52.24,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-019,Piqué Biker Jacket (Variant 19),top,,$57.49,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-020,T-shirt Contrast Pocket (Variant 20),top,,$44.37,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-021,Piqué Biker Jacket (Variant 21),top,,$58.19,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-022,T-shirt Contrast Pocket (Variant 22),top,,$53.03,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-023,Piqué Biker Jacket (Variant 23),top,,$64.86,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-024,T-shirt Contrast Pocket (Variant 24),top,,$55.84,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-025,Piqué Biker Jacket (Variant 25),top,,$73.06,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-026,T-shirt Contrast Pocket (Variant 26),top,,$47.44,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-027,Piqué Biker Jacket (Variant 27),top,,$75.85,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-028,T-shirt Contrast Pocket (Variant 28),top,,$53.82,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-029,Piqué Biker Jacket (Variant 29),top,,$72.63,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-030,T-shirt Contrast Pocket (Variant 30),top,,$53.09,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-031,Piqué Biker Jacket (Variant 31),top,,$67.88,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-032,T-shirt Contrast Pocket (Variant 32),top,,$42.48,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-033,Piqué Biker Jacket (Variant 33),top,,$70.42,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-034,T-shirt Contrast Pocket (Variant 34),top,,$51.93,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-035,Piqué Biker Jacket (Variant 35),top,,$74.44,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-036,T-shirt Contrast Pocket (Variant 36),top,,$43.38,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-037,Piqué Biker Jacket (Variant 37),top,,$71.79,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-038,T-shirt Contrast Pocket (Variant 38),top,,$53.94,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-039,Piqué Biker Jacket (Variant 39),top,,$70.14,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-040,T-shirt Contrast Pocket (Variant 40),top,,$53.89,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-041,Piqué Biker Jacket (Variant 41),top,,$75.30,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-042,T-shirt Contrast Pocket (Variant 42),top,,$47.74,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-043,Piqué Biker Jacket (Variant 43),top,,$61.84,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-044,T-shirt Contrast Pocket (Variant 44),top,,$54.15,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-045,Piqué Biker Jacket (Variant 45),top,,$70.16,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-046,T-shirt Contrast Pocket (Variant 46),top,,$50.04,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-047,Piqué Biker Jacket (Variant 47),top,,$62.13,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-048,T-shirt Contrast Pocket (Variant 48),top,,$53.48,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-049,Piqué Biker Jacket (Variant 49),top,,$72.76,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-050,T-shirt Contrast Pocket (Variant 50),top,,$49.85,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-051,Piqué Biker Jacket (Variant 51),top,,$67.79,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-052,T-shirt Contrast Pocket (Variant 52),top,,$56.36,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-053,Piqué Biker Jacket (Variant 53),top,,$76.31,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-054,T-shirt Contrast Pocket (Variant 54),top,,$50.47,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-055,Piqué Biker Jacket (Variant 55),top,,$70.20,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-056,T-shirt Contrast Pocket (Variant 56),top,,$51.21,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-057,Piqué Biker Jacket (Variant 57),top,,$71.45,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-058,T-shirt Contrast Pocket (Variant 58),top,,$45.41,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-059,Piqué Biker Jacket (Variant 59),top,,$67.97,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-060,T-shirt Contrast Pocket (Variant 60),top,,$50.32,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-061,Piqué Biker Jacket (Variant 61),top,,$71.25,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-062,T-shirt Contrast Pocket (Variant 62),top,,$52.84,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-063,Piqué Biker Jacket (Variant 63),top,,$75.09,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-064,T-shirt Contrast Pocket (Variant 64),top,,$54.12,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-065,Piqué Biker Jacket (Variant 65),top,,$66.19,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-066,T-shirt Contrast Pocket (Variant 66),top,,$50.28,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-067,Piqué Biker Jacket (Variant 67),top,,$64.23,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-068,T-shirt Contrast Pocket (Variant 68),top,,$44.58,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-069,Piqué Biker Jacket (Variant 69),top,,$64.89,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-070,T-shirt Contrast Pocket (Variant 70),top,,$51.76,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-071,Piqué Biker Jacket (Variant 71),top,,$75.26,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-072,T-shirt Contrast Pocket (Variant 72),top,,$51.24,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-073,Piqué Biker Jacket (Variant 73),top,,$57.96,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-074,T-shirt Contrast Pocket (Variant 74),top,,$49.79,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-075,Piqué Biker Jacket (Variant 75),top,,$74.86,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-076,T-shirt Contrast Pocket (Variant 76),top,,$44.64,https://themewagon.github.io/malefashion/img/product/product-13.jpg
MF-077,Piqué Biker Jacket (Variant 77),top,,$62.84,https://themewagon.github.io/malefashion/img/product/product-2.jpg
MF-078,T-shirt Contrast Pocket (Variant 78),top,,$49.20,https://themewagon.github.io/malefashion/img/product/product-7.jpg
MF-079,Piqué Biker Jacket (Variant 79),top,,$66.68,https://themewagon.github.io/malefashion/img/product/product-9.jpg
MF-080,T-shirt Contrast Pocket (Variant 80),top,,$52.40,https://themewagon.github.io/malefashion/img/product/product-13.jpg
