sku,name,category,color,price,image_url
u0000000052705,短版T恤(短袖),女裝T恤上衣,白色,NT$390,https://www.uniqlo.com/tw/hmall/test/u0000000052705/main/first/561/1.jpg
u0000000018277,圓領T恤(短袖),女裝T恤上衣,黑色,NT$390,https://www.uniqlo.com/tw/hmall/test/u0000000018277/main/first/561/1.jpg
u0000000052527,UTme! 寶可夢特別慶典UT印花T恤,女裝T恤上衣,白色,NT$490,https://www.uniqlo.com/tw/hmall/test/u0000000052527/main/first/561/1.jpg
u0000000052400,柔軟針織刷毛圓領T恤(長袖),女裝T恤上衣,黑色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000052400/main/first/561/1.jpg
u0000000052285,柔軟羅紋條紋圓領T恤(長袖),女裝T恤上衣,灰色,NT$390,https://www.uniqlo.com/tw/hmall/test/u0000000052285/main/first/561/1.jpg
u0000000052903,AIRism 棉質條紋T恤(短袖),女裝T恤上衣,黑色,NT$390,https://www.uniqlo.com/tw/hmall/test/u0000000052903/main/first/561/1.jpg
u0000000051637,棉質T恤(無袖),女裝T恤上衣,白色,NT$190,https://www.uniqlo.com/tw/hmall/test/u0000000051637/main/first/561/1.jpg
u0000000052524,UTme! 寶可夢特別慶典UT印花T恤,女裝T恤上衣,白色,NT$490,https://www.uniqlo.com/tw/hmall/test/u0000000052524/main/first/561/1.jpg
u0000000051597,圓領T恤(短袖),女裝T恤上衣,粉紅色,NT$190,https://www.uniqlo.com/tw/hmall/test/u0000000051597/main/first/561/1.jpg
u0000000052049,AIRism棉質寬版圓領T恤(五分袖),女裝T恤上衣,白色,NT$290,https://www.uniqlo.com/tw/hmall/test/u0000000052049/main/first/561/1.jpg
u0000000052522,UTme! 寶可夢特別慶典UT印花T恤,女裝T恤上衣,黑色,NT$490,https://www.uniqlo.com/tw/hmall/test/u0000000052522/main/first/561/1.jpg
u0000000052799,DRY多色圓領T恤(短袖),女裝T恤上衣,深灰色,NT$190,https://www.uniqlo.com/tw/hmall/test/u0000000052799/main/first/561/1.jpg
u0000000050621,羅紋船型領T恤(五分袖),女裝T恤上衣,灰色,NT$190,https://www.uniqlo.com/tw/hmall/test/u0000000050621/main/first/561/1.jpg
u0000000052431,HEATTECH刷毛高領T恤(長袖),女裝T恤上衣,深灰色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000052431/main/first/561/1.jpg
u0000000050586,AIRism棉質寬版圓領T恤(五分袖),女裝T恤上衣,深灰色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000050586/main/first/561/1.jpg
u0000000050617,AIRism棉質T恤(無袖),女裝T恤上衣,白色,NT$490,https://www.uniqlo.com/tw/hmall/test/u0000000050617/main/first/561/1.jpg
u0000000052958,圓領T恤(短袖),女裝T恤上衣,深灰色,NT$290,https://www.uniqlo.com/tw/hmall/test/u0000000052958/main/first/561/1.jpg
u0000000052523,UTme! 寶可夢特別慶典UT印花T恤,女裝T恤上衣,黑色,NT$490,https://www.uniqlo.com/tw/hmall/test/u0000000052523/main/first/561/1.jpg
u0000000050277,柔軟羅紋條紋圓領T恤(長袖),女裝T恤上衣,淡粉色,NT$390,https://www.uniqlo.com/tw/hmall/test/u0000000050277/main/first/561/1.jpg
u0000000052291,柔軟羅紋圓領T恤(長袖),女裝T恤上衣,白色,NT$390,https://www.uniqlo.com/tw/hmall/test/u0000000052291/main/first/561/1.jpg
u0000000052707,AIRism棉質T恤(短袖),女裝T恤上衣,深灰色,NT$390,https://www.uniqlo.com/tw/hmall/test/u0000000052707/main/first/561/1.jpg
u0000000052434,SUPIMA COTTON圓領T恤(長袖),女裝T恤上衣,黑色,NT$390,https://www.uniqlo.com/tw/hmall/test/u0000000052434/main/first/561/1.jpg
u0000000052437,HEATTECH彈性刷毛半開襟T恤(長袖),女裝T恤上衣,黑色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052437/main/first/561/1.jpg
u0000000052281,柔軟羅紋拼色圓領T恤(長袖),女裝T恤上衣,白色,NT$390,https://www.uniqlo.com/tw/hmall/test/u0000000052281/main/first/561/1.jpg
u0000000050368,AIRism棉質圓領T恤(長袖),女裝T恤上衣,深灰色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000050368/main/first/561/1.jpg
u0000000013896,Gordon Reid 圓領T恤(短袖),男裝T恤上衣,白色,NT$490,https://www.uniqlo.com/tw/hmall/test/u0000000013896/main/first/561/1.jpg
u0000000013938,河村康輔 圓領T恤(短袖),男裝T恤上衣,黑色,NT$490,https://www.uniqlo.com/tw/hmall/test/u0000000013938/main/first/561/1.jpg
u0000000052211,SUPIMA COTTON T恤(短袖),男裝T恤上衣,粉紅色,NT$290,https://www.uniqlo.com/tw/hmall/test/u0000000052211/main/first/561/1.jpg
u0000000013909,錦織圭 圓領T恤(短袖),男裝T恤上衣,白色,NT$490,https://www.uniqlo.com/tw/hmall/test/u0000000013909/main/first/561/1.jpg
u0000000050640,SUPIMA COTTON T恤(短袖),男裝T恤上衣,深灰色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000050640/main/first/561/1.jpg
u0000000051730,Pokémon 印花休閒上衣(長袖),女裝襯衫上衣,黑色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000051730/main/first/561/1.jpg
u0000000051656,府綢寬版襯衫(長袖),女裝襯衫上衣,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000051656/main/first/561/1.jpg
u0000000052024,法蘭絨寬版襯衫(長袖)(格紋),女裝襯衫上衣,黑色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052024/main/first/561/1.jpg
u0000000050920,休閒寬褲(褲腳抽繩),女裝襯衫上衣,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000050920/main/first/561/1.jpg
u0000000052359,短版休閒上衣(長袖),女裝襯衫上衣,褐色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000052359/main/first/561/1.jpg
u0000000052867,休閒寬褲(褲腳抽繩),女裝襯衫上衣,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052867/main/first/561/1.jpg
u0000000051733,Pokémon 印花休閒上衣(長袖),女裝襯衫上衣,淺灰色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000051733/main/first/561/1.jpg
u0000000051591,牛仔寬版襯衫(長袖),女裝襯衫上衣,灰色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000051591/main/first/561/1.jpg
u0000000052272,牛津條紋寬版襯衫(長袖),女裝襯衫上衣,白色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052272/main/first/561/1.jpg
u0000000051905,泡泡瑪特 半開襟休閒上衣(長袖),女裝襯衫上衣,白色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000051905/main/first/561/1.jpg
u0000000052016,法蘭絨寬版襯衫(長袖),女裝襯衫上衣,淺灰色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052016/main/first/561/1.jpg
